"receiver","v1Balance","allowanceToMigration","includedInMigration","registeredBalanceInMigration"
0x05745ca3ac6ffcb336fcf57e270e67a5ecf06175,32512.620678,0.0,false,0.0
0x1f88d0f55931fdc1dd95a714bdf7208ef9b4ab4f,22217.494554,0.000000022217494554,false,0.0
0x11808cf0413493373f162b0378c0c4b22abf7b0f,7146.780306,0.0,false,0.0
0xf4bec3e032590347fc36ad40152c7155f8361d39,6709.337892,0.0,false,0.0
0xad76c25d3d7cac4bd77a4c1a51a168148411bf80,2554.90038,0.0,false,0.0
0x63fa668664563400309384ba95ff775c33e5d7af,2483.568666,0.0,false,0.0
0xf4da35150e4114dbe173d53cfc5d6d3ce540ab6d,2227.84883,0.0,false,0.0
0x86845326415b12211ab913df8d532e31b5f1bf5e,2047.27291,0.0,false,0.0
0x263a8a1297582c307a008de90372fbc98bec1ba8,1888.597014,0.0,false,0.0
0xe6f238f3f50a4ef83e4b0cde9478bfe49c5717a9,1577.050977,0.0,false,0.0
0x8967e0ead53c4a4c60fd1ade925bdbe0c93d58fe,1015.786681,0.0,false,0.0
0xa8735830c77d9cf4bd9a3acc75db41ee045bfd14,1005.559479,0.0,false,0.0
0x5ef7f250f74d4f11a68054ae4e150705474a6d4a,964.034874,0.0,false,0.0
0xc0496fe72226e6463a30cf0e0f0b5be525262b4e,681.872344,0.000000000681872344,false,0.0
0x182393120c0ba4e60f8e86f45460bf9fb4e00ee3,654.501526,0.0,false,0.0
0x4d84f344b6c805c115b5b4473659202cb52de628,629.579786,0.0,false,0.0
0xba74fbe1e5ef67271ac76435e0e32bf94a950f53,616.383948,0.0,false,0.0
0x9c75f87080c1d615cee2771e9489203699b3c1d3,601.346046,0.0,false,0.0
0xd67451bd22cfca3502748f19ffe238eafac5ab70,567.549569,0.0,false,0.0
0x3da8cddd524eaf5c908f2366b3c412c0da1febd6,350.193752,0.0,false,0.0
0x8fb7b34db316353f4cc8855c9d3bdfb859562f91,301.7155,0.0,false,0.0
0x3acaf50e05e68cc2efddd73315c6c09a1034bb2a,295.499165,0.0,false,0.0
0x835534ec13cd0cdcb17f36e365e4ed36827650d2,268.492638,0.000000000268492638,false,0.0
0x439934821a6bcff8b285b5a0e0e46cf8c851fcbb,263.821474,0.0,false,0.0
0x6676773ecc9b6876e72d080c47ec1ce03959fc87,106.310136,0.0,false,0.0
0xbc02939d916724e232ebc54b3d49adc83fffcad0,100.573302,0.0,false,0.0
0x166461e6d138d48ee2b40d6120ea1bddf4fb40a5,100.571487,0.0,false,0.0
0x0468c3183e52fdb2c8028434cdddb77d6df10426,100.551814,0.0,false,0.0
0x85cf1ceb982eb9de0c8a76b76a9b132d22538cda,100.51149,0.0,false,0.0
0x8a7bb9187d769f32959b9cbc744e1fc0edd95bc0,99.763013,0.00000000009976301,false,0.0
0x0f2ede90f84d2f820c967c30842f8295e5f559b1,91.972623,0.0,false,0.0
0x2b6bcdb2c67b905d094ec34dfb1deb54569e2767,90.515972,0.0,false,0.0
0x291e4ebb46c04d87c2fb10582b20e9258a1a83f8,82.723983,0.0,false,0.0
0x895e535f386cc8e9f2d36e590128c55edef28e99,79.724179,0.0,false,0.0
0xca29302dfd9041bb151151ff20d41c0534d00caa,71.16121,0.0,false,0.0
0x817d03c548ffabd3cf19a465c1c7e0b2834939a3,64.104767,0.0,false,0.0
0xd5983d35174e13521b6faad85bec792bf3cd12a4,59.489789,0.0,false,0.0
0x0eb83fd4801af7207c454c84a139c8bc91c54436,50.286651,0.0,false,0.0
0x3d8a8980ac68554da0af80972ab992628b500808,36.970635,0.0,false,0.0
0xe6c476609e34740249ba442b8215279c5541ce66,36.295839,0.0,false,0.0
0x44b473824a4ddd9beea55ce934142c354a7b84c9,35.799709,0.0,false,0.0
0x21a02f0fb67bcceaaebec80304bec0a92d2797e1,25.143325,0.0,false,0.0
0x7611ae67894523755f688b27ed36e2ddf3026269,22.90172,0.0,false,0.0
0x603888f610afeccf1572151516f8c8d880105543,18.769219,0.0,false,0.0
0x151f1c8b447ee78eeacedda368913b6601e415e1,5.628996,0.0,false,0.0
0xfb3375d76cd1c487ee721a92342f9f59ef41e028,2.705517,0.0,false,0.0
0x0a48c3a67c7dda56ad486f3cd03304ae04b50db8,0.829466,0.0,false,0.0
0x42a22772dec0cae3b30658fb880f9cd07397c637,0.000003,0.0,false,0.0
